,cleaned_title,date,source,source_type,language,sentiment,emotion,emotions,emotion_scores
403,Data Remains Key to Military Artificial Intelligence Strategy,2023-11-03,Signal Magazine,Magazine,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.666262149810791, 0.16771164536476135, 0.08558908849954605, 0.08043715357780457]"
404,AI executive order does not fix need for federal regulation,2023-11-03,TechTarget,Blog,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.671237051486969, 0.19723017513751984, 0.07147682458162308, 0.060055866837501526]"
405,The UK's hollow AI Safety Summit has only emphasized global divides,2023-11-03,ITPro,Press Release Service,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.5846107006072998, 0.38491135835647583, 0.01748078688979149, 0.012997189536690712]"
406,"New age of AI will lead to opportunities, growth: Microsoft’s Satya Nadella",2023-11-02,Khaleej Times,News Outlet,en,positive,"['Optimism', 'Excitement', 'Skepticism', 'Concern']",Optimism,"[0.5177015066146851, 0.3657902479171753, 0.08376923948526382, 0.032739002257585526]"
407,Inside the U.K.'s AI Safety Summit | TIME,2023-11-02,TIME,Magazine,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.43471527099609375, 0.3306732177734375, 0.12629476189613342, 0.10831671953201294]"
408,"My colleague, the AI ​​- ChatGPT and Co in business",2023-11-02,NDR.de,Other,de,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.3326590359210968, 0.31073859333992004, 0.25168001651763916, 0.1049223393201828]"
409,Decoding the White House AI Executive Order's Achievements,2023-11-02,Stanford HAI,Academic Journal,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.37497156858444214, 0.27674418687820435, 0.21184368431568146, 0.13644059002399445]"
410,The EU’s AI Act Shows How To Regulate AI. It Could Be Improved,2023-11-02,ProMarket,Press Release Service,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.6067789793014526, 0.1657411903142929, 0.13325384259223938, 0.09422604739665985]"
411,AI could have huge positive impacts on medicine and the economy ...,2023-11-02,inews,News Outlet,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.30652886629104614, 0.29056042432785034, 0.20681869983673096, 0.19609196484088898]"
412,US pushes for global protections against threats posed by AI,2023-11-02,The Standard,News Outlet,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6759723424911499, 0.18812808394432068, 0.07436361908912659, 0.06153599172830582]"
413,"Generative AI in Data Engineering | by Aruna Pattam | Nov, 2023 ...",2023-11-02,Medium,Blog,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.44511678814888, 0.259591668844223, 0.2059912532567978, 0.08930028229951859]"
414,"US Tackles AI Frontier Models, UK Leads Supranational Safety",2023-11-02,PYMNTS.com,Other,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7902846932411194, 0.0763859674334526, 0.07138549536466599, 0.06194385513663292]"
415,"Is ‘data poisoning’, an IP defense measure against AI, ethical?",2023-11-02,CIO Korea,Other,ko,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7212235331535339, 0.2169106900691986, 0.032238371670246124, 0.029627468436956406]"
416,Mediagen attends the official launch ceremony as an iFlytech international partner,2023-11-02,AI타임스,News Outlet,ko,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.3401699960231781, 0.28144413232803345, 0.2522995173931122, 0.12608641386032104]"
417,Mediagen enters the global AI solution market through the iFlytech open platform...,2023-11-02,시큐리티팩트,Other,ko,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.33701804280281067, 0.27578645944595337, 0.2481616735458374, 0.13903380930423737]"
418,This AI Research from Google Reveals How Encoding Graph Data Elevates Language Model Performance on Complex Tasks,2023-11-02,MarkTechPost,News Outlet,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.34189337491989136, 0.23473255336284637, 0.21986547112464905, 0.20350854098796844]"
419,Scarlett Johansson takes legal action against use of image for AI,2023-11-02,The Guardian,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6554656624794006, 0.20167356729507446, 0.0836523026227951, 0.0592084676027298]"
420,GE HealthCare Announces New Data Validating Artificial Intelligence Models for Predicting Patient Response to Immunotherapies,2023-11-02,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.3513742685317993, 0.2688169479370117, 0.2002408653497696, 0.17956799268722534]"
421,Brave rolls out privacy-focused AI chatbot to lure you away from ...,2023-11-02,Android Authority,Other,en,positive,"['Skepticism', 'Excitement', 'Optimism', 'Concern']",Skepticism,"[0.270104318857193, 0.2497669905424118, 0.24046781659126282, 0.23966075479984283]"
422,Dell Technologies and Meta to Drive Generative AI Innovation with ...,2023-11-02,CXOToday.com,Other,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.28558704257011414, 0.26609256863594055, 0.2478509396314621, 0.2004694938659668]"
423,Artificial intelligence (AI) market 2023-2027; North America is estimated to contribute 56% to the growth of the global market - Technavio,2023-11-02,Yahoo Finance,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.36872395873069763, 0.3160197138786316, 0.27055102586746216, 0.04470529407262802]"
424,"Dell, Intel and University of Cambridge deploy the UK's fastest AI ...",2023-11-02,AI News,News Outlet,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.35024353861808777, 0.29019081592559814, 0.19319607317447662, 0.16636954247951508]"
425,European investors remain sceptical on artificial intelligence impact ...,2023-11-02,IPE.com,Other,en,negative,"['Skepticism', 'Concern', 'Excitement', 'Optimism']",Skepticism,"[0.5634657144546509, 0.4225812256336212, 0.007976003922522068, 0.005977105349302292]"
426,Army Issues RFI for Project Linchpin AI Bill of Materials,2023-11-02,Executive Gov,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.5885337591171265, 0.15277878940105438, 0.14164167642593384, 0.11704578995704651]"
427,The case for a little AI regulation - by Casey Newton,2023-11-02,Platformer,News Outlet,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7300518751144409, 0.10928188264369965, 0.0841900035738945, 0.07647626847028732]"
428,LexisNexis Launches 'LexisNexis AI Insider' – Artificial Lawyer,2023-11-02,Artificial Lawyer,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.38937169313430786, 0.2608351409435272, 0.2110704481601715, 0.1387227177619934]"
429,The new Callaway Odyssey putters with artificial intelligence,2023-11-02,golfpost.com,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.30980437994003296, 0.3068808317184448, 0.2527492344379425, 0.13056552410125732]"
430,TRD.AI: the Only Event Bringing Artificial Intelligence to Real Estate,2023-11-02,Yahoo Finance,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.3661455512046814, 0.27314093708992004, 0.2288082242012024, 0.13190531730651855]"
431,"Aitana Lopez: The model earning 4,000 euros per month... created by AI",2023-11-02,Marca English,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3718084990978241, 0.343305379152298, 0.18817192316055298, 0.09671422094106674]"
432,Rome to host international AI summit next year,2023-11-02,EURACTIV,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.41064369678497314, 0.24038639664649963, 0.24001207947731018, 0.10895787179470062]"
433,Rated-R robot! People can trick AI into creating NSFW content,2023-11-02,Study Finds,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6387926340103149, 0.17213620245456696, 0.13083449006080627, 0.05823666974902153]"
434,Wallace Rose-Hill coaching staff and field maintenance crew use artificial intelligence robot to help make their job easier,2023-11-02,WITN,Other,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.471987247467041, 0.1953604817390442, 0.16703248023986816, 0.16561976075172424]"
435,"GPT Revolution | ""Black Widow"" Scarlett Johansson plans to take legal action after her face was changed by AI",2023-11-02,Caixin Global,Other,zh,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.5879495143890381, 0.29478710889816284, 0.06963556259870529, 0.047627802938222885]"
436,"DataStax Launches RAGStack, an Out-of-the-box Retrieval Augment Generation Solution, to Simplify RAG Implementations for Enterprises Building Generative AI Applications",2023-11-02,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.28601449728012085, 0.2720659673213959, 0.22995173931121826, 0.21196778118610382]"
437,"When generative AI cyberthreats arrive, Wraithwatch will be ready and waiting",2023-11-02,Yahoo Finance,News Outlet,en,negative,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.6513110995292664, 0.12122988700866699, 0.11749769002199173, 0.10996130853891373]"
438,The 'rock stars' of AI who dream of the day when robots are smarter than humans,2023-11-02,Daily Mail,News Outlet,en,negative,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3861665427684784, 0.3117799162864685, 0.2136228382587433, 0.08843076229095459]"
439,How far has the use of AI in the real estate industry come? From customized search to market analysis,2023-11-02,미주중앙일보,News Outlet,ko,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.42474034428596497, 0.21175813674926758, 0.20053640007972717, 0.1629650741815567]"
440,"GPT-NL strengthens Dutch autonomy, knowledge and technology in AI",2023-11-02,tno.nl,Other,nl,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.32545366883277893, 0.3233344554901123, 0.19941385090351105, 0.15179796516895294]"
441,AI Safety Summit: OWASP Urges Governments to Agree on AI ...,2023-11-02,Infosecurity Magazine,Magazine,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6131690740585327, 0.16255676746368408, 0.14099310338497162, 0.08328097313642502]"
442,AI: Promise and precautions on the legal tech frontier,2023-11-02,Legal Dive,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.5044224858283997, 0.3450911343097687, 0.10688118636608124, 0.043605223298072815]"
443,Xiong named director of Institute for Artificial Intelligence and Data ...,2023-11-02,University at Buffalo,Academic Journal,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.42524054646492004, 0.2247256189584732, 0.178857684135437, 0.17117604613304138]"
444,"Biden Makes Bold Moves On AI Regulation, How Hackers Help ...",2023-11-02,Forbes,Magazine,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6775938272476196, 0.1688702404499054, 0.09288041293621063, 0.06065559387207031]"
445,OneTrust Joins the IAPP AI Governance Center to Accelerate ...,2023-11-02,PR Newswire,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.36080315709114075, 0.2527242600917816, 0.22985464334487915, 0.15661783516407013]"
446,Harnessing the Power of AI for Patient Safety,2023-11-02,Philips,Other,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.6305999755859375, 0.20806847512722015, 0.0834893137216568, 0.07784225046634674]"
447,Responsiv Raises $3M to Build the AI Assistant for In-House Legal,2023-11-02,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.305524617433548, 0.2924158275127411, 0.20320647954940796, 0.19885307550430298]"
448,"Cyber Director nominee talks AI, collaboration at confirmation hearing",2023-11-02,Nextgov/FCW,Other,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.4727054238319397, 0.21507956087589264, 0.15890546143054962, 0.15330959856510162]"
449,Euro Roundup: UK regulators to create a 'sandbox' for AI ...,2023-11-02,Regulatory Focus,Other,en,neutral,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.3950166702270508, 0.2459762543439865, 0.23795734345912933, 0.12104970961809158]"
450,Remarks by Commerce Secretary Gina Raimondo at the AI Safety ...,2023-11-02,US Department of Commerce,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.49125295877456665, 0.3129936456680298, 0.11305617541074753, 0.08269722014665604]"
451,The US Commerce Department is Creating an AI Safety Agency,2023-11-02,Husch Blackwell,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6671363711357117, 0.16572211682796478, 0.08577044308185577, 0.08137104660272598]"
452,White House Aims to Cut AI Risks to National Security with New ...,2023-11-02,GovernmentCIO Media & Research,Academic Journal,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.805445671081543, 0.11642279475927353, 0.04051012918353081, 0.03762141242623329]"
453,"Beyond the White House's Executive Order, Agencies Respond to AI",2023-11-02,GovernmentCIO Media & Research,Academic Journal,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6213687062263489, 0.19739335775375366, 0.09387542307376862, 0.08736249059438705]"
454,"AI helping transform how traffic patterns, data is studied on Florida ...",2023-11-02,WPTV News Channel 5 West Palm,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.42855456471443176, 0.2200135886669159, 0.20080170035362244, 0.1506301909685135]"
455,Security and privacy ranked second among AI concerns,2023-11-02,Security Magazine,Magazine,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.9263182878494263, 0.058092936873435974, 0.010436797514557838, 0.005151987075805664]"
456,How Data And AI Are Reshaping Contemporary HR Practices,2023-11-02,Forbes,Magazine,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.40749916434288025, 0.2108561396598816, 0.2053561955690384, 0.17628853023052216]"
457,Remarks of President von der Leyen at the AI Safety Summit,2023-11-02,European Commission,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.3966372609138489, 0.31200388073921204, 0.15760502219200134, 0.13375388085842133]"
458,"AI, autonomy proving ground hosts first 3rd-party developer",2023-11-02,Eglin Air Force Base,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.3458974063396454, 0.3003910183906555, 0.2600743770599365, 0.09363716095685959]"
459,"With RAGStack, DataStax enables generative AI models to gain ...",2023-11-02,SiliconANGLE News,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.30852586030960083, 0.24251675605773926, 0.2332935780286789, 0.2156638205051422]"
460,Building better AI models for the railways starts with a solid data ...,2023-11-02,RailTech.com,Blog,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.5070263743400574, 0.1905166208744049, 0.15416128933429718, 0.14829565584659576]"
461,"Cloud-Native AI Workloads: Scalability, Sustainability and Security",2023-11-02,Cloud Native Now,Other,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.689643383026123, 0.15173296630382538, 0.10458200424909592, 0.054041605442762375]"
462,JUST IN: New Defense Department AI Strategy Focuses on Data ...,2023-11-02,National Defense Magazine,Magazine,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.5084322690963745, 0.24107903242111206, 0.1540444940328598, 0.09644423425197601]"
463,"Continuing to improve the domestic artificial intelligence industry chain, 360 signed a strategic contract with the Beijing Supercomputing Center",2023-11-01,环球网,Other,zh-cn,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3502921164035797, 0.2745654284954071, 0.2512381374835968, 0.12390437722206116]"
464,"AI Is About to Remake the PC. Dell, HP Stock Look Like Buys.",2023-11-01,Barron's,Other,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.2947108745574951, 0.2698582410812378, 0.26640012860298157, 0.16903077065944672]"
465,Artificial Intelligence (AI) Powered Cybersecurity: The Next Big Thing ...,2023-11-01,StudyCafe,Other,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.5919840335845947, 0.2458944022655487, 0.11905904859304428, 0.04306256026029587]"
466,Global Powers Sign International Declaration on AI Safety,2023-11-01,Decrypt,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6716424822807312, 0.1494620144367218, 0.1105852797627449, 0.06831025332212448]"
467,Biden's AI Order Is Much-Needed Assurance for the EU,2023-11-01,Carnegie Endowment for International Peace,Other,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.9249448180198669, 0.038450468331575394, 0.02005004696547985, 0.016554659232497215]"
468,Countries agree declaration on frontier AI risks at Bletchley Park AI ...,2023-11-01,New Scientist,News Outlet,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6503067016601562, 0.21416746079921722, 0.069071464240551, 0.06645441055297852]"
469,"AI Chatbots are scraping news reporting and copyrighted content, News Media Alliance says",2023-11-01,CNN,News Outlet,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.8655140399932861, 0.05428536981344223, 0.04315560683608055, 0.037045009434223175]"
470,Young entrepreneurs taking to world of AI - Asia News NetworkAsia ...,2023-11-01,asianews.network,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.34618034958839417, 0.2753866910934448, 0.22625049948692322, 0.1521824300289154]"
471,8x8’s AI-powered Intelligent Customer Assistant Drives Customer Experience Success and Enhanced Contact Center Performance,2023-11-01,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.31267598271369934, 0.2757411003112793, 0.23136958479881287, 0.18021337687969208]"
472,Why Nvidia is teaching robots to twirl pens and how generative AI is helping,2023-11-01,ZDNet,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.3132619857788086, 0.3025098741054535, 0.1951296180486679, 0.1890985667705536]"
473,"``AI will not replace screenwriters,'' the Screenwriters Federation and others say",2023-11-01,産経ニュース,Other,ja,negative,"['Skepticism', 'Concern', 'Optimism', 'Excitement']",Skepticism,"[0.41760823130607605, 0.3487910330295563, 0.12730424106121063, 0.10629653930664062]"
474,Quora's Poe Introduces an AI Chatbot Creator Economy,2023-11-01,Robots.net,Other,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.3247094750404358, 0.24942225217819214, 0.2382306307554245, 0.1876375526189804]"
475,Dell AI: Why can enterprises not hold back on generative AI?,2023-11-01,Tech Wire Asia,Blog,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.33389565348625183, 0.2759866714477539, 0.26164689660072327, 0.128470778465271]"
476,President Yoon discusses AI safety with world leaders!... At the UK's 'AI Safety Summit'...,2023-11-01,인공지능신문,News Outlet,ko,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.5997384190559387, 0.18199175596237183, 0.11891283839941025, 0.099357008934021]"
477,Britain hosts the first global summit on the risks of artificial intelligence,2023-11-01,ar.lemaghreb.tn,Other,ar,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.45515885949134827, 0.3204800486564636, 0.11777947098016739, 0.10658162087202072]"
478,AI chatbots steal copyrighted news,2023-11-01,"Cointelegraph en Español (Noticias sobre Bitcoin, Blockchain y el futuro del dinero)",Other,es,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.5449211597442627, 0.25089070200920105, 0.1137026697397232, 0.09048544615507126]"
479,Global Artificial Intelligence in BFSI Market Size to Reach USD 236.87 Billion in 2032 | Emergen Research,2023-11-01,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.396714448928833, 0.26323938369750977, 0.24925614893436432, 0.0907900407910347]"
480,SAP Joins Stanford University Human-Centered Artificial Intelligence Corporate Affiliate Program,2023-11-01,SAP News,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.32674068212509155, 0.257811039686203, 0.224605992436409, 0.19084227085113525]"
481,Turner Spotlights Artificial Intelligence at 2023 Innovation Summit ...,2023-11-01,Turner Construction Company,Corporate,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.33682504296302795, 0.27540040016174316, 0.24913239479064941, 0.13864222168922424]"
482,State lawmakers meet in Titletown to discuss artificial intelligence,2023-11-01,WBAY,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.3692663609981537, 0.2932632565498352, 0.17321865260601044, 0.16425171494483948]"
483,Global Mobile Artificial Intelligence Market Size To Grow USD ...,2023-11-01,GlobeNewswire,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.3254188001155853, 0.2817971706390381, 0.25959542393684387, 0.1331886351108551]"
484,I hate how much I love this talking AI robot dog,2023-11-01,Creative Bloq,Other,en,negative,"['Skepticism', 'Concern', 'Excitement', 'Optimism']",Skepticism,"[0.3439006805419922, 0.27917706966400146, 0.25830724835395813, 0.11861499398946762]"
485,Adastra Signs Strategic Collaboration Agreement with AWS to Drive AI-Powered Solutions Globally,2023-11-01,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.3561360538005829, 0.28731390833854675, 0.24427229166030884, 0.11227771639823914]"
486,Industrial AI: Industrial (Grade) Data Fabrics,2023-11-01,ARC Advisory Group,Corporate,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.3501757085323334, 0.301419734954834, 0.2291383594274521, 0.11926615983247757]"
487,Unlocking the power of AI while safeguarding personal data ...,2023-11-01,SiliconANGLE News,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.5705834031105042, 0.16706757247447968, 0.14204861223697662, 0.12030036747455597]"
488,AI Detects Disease Clues from DNA Methylation Data | What is ...,2023-11-01,WhatIsEpigenetics.com,Other,en,neutral,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7353165745735168, 0.16777443885803223, 0.054859261959791183, 0.042049773037433624]"
489,Aniai's AI-Powered Hamburger Cooking Robots Expand to U.S. Market,2023-11-01,Quality Assurance & Food Safety,Other,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.38157445192337036, 0.2807440161705017, 0.23876620829105377, 0.09891531616449356]"
490,"AI Safety Summit discussions not focused on killer robots, says ...",2023-11-01,The Independent,News Outlet,en,negative,"['Skepticism', 'Concern', 'Optimism', 'Excitement']",Skepticism,"[0.5862298607826233, 0.3180675804615021, 0.04935173690319061, 0.04635085165500641]"
491,"Chinese tech companies delve into robotics, eyeing link to AI",2023-11-01,Nikkei Asia,Other,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.2633538544178009, 0.2597663104534149, 0.25971293449401855, 0.21716685593128204]"
492,China voices to lead global AI governance,2023-11-01,People's Daily,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.4311116635799408, 0.21151286363601685, 0.1854085624217987, 0.17196691036224365]"
493,CalypsoAI Partners with Palantir to Improve AI Security in U.S. Government,2023-11-01,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.44980689883232117, 0.2566119134426117, 0.16699902713298798, 0.12658213078975677]"
494,Orca Security Taps Amazon for Generative AI Expertise,2023-11-01,Security Boulevard,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.7233773469924927, 0.11171656101942062, 0.08470750600099564, 0.08019860833883286]"
495,Thomson Reuters Unveils Generative AI Strategy Designed to ...,2023-11-01,Datanami,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.3172670304775238, 0.3127999007701874, 0.1877017468214035, 0.18223127722740173]"
496,"Rise of the robots: 'AI' is crowned Word of the Year - closely followed by 'greedflation', 'nepo baby' and 'UL",2023-11-01,Daily Mail,News Outlet,en,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.43873047828674316, 0.282352089881897, 0.18808449804782867, 0.0908328965306282]"
497,Dell Technologies and Meta collaborate on on-premise generative AI innovation applied to LLM ‘Rama 2’,2023-11-01,GTT KOREA,Other,ko,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3002511262893677, 0.2930907607078552, 0.2696387469768524, 0.13701936602592468]"
498,"Fleur East gets replaced by AI on Hits Radio for Hallowe'en, plus ...",2023-11-01,The Telegraph,News Outlet,en,negative,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.3787464201450348, 0.373058021068573, 0.16650019586086273, 0.0816953182220459]"
499,UK hosts first-ever global artificial intelligence safety summit ...,2023-11-01,FRANCE 24 English,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.5556955337524414, 0.24244816601276398, 0.1048310175538063, 0.0970253273844719]"
500,AI chatbots are illegally using protected news…,2023-11-01,Cointelegraph,Other,pt,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.9161726236343384, 0.044109512120485306, 0.02311667613685131, 0.016601180657744408]"
501,"Lotte Data Communication AI model, ranked 1st on Korean-specialized LLM leaderboard",2023-11-01,아이뉴스24,Other,ko,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.3073997497558594, 0.29465603828430176, 0.2455805391073227, 0.1523636430501938]"
502,Lotte Data Communication ‘Self-built AI model achieves 1st place on Korean-specialized LLM leaderboard’,2023-11-01,글로벌경제신문,Other,ko,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.47820645570755005, 0.2508867681026459, 0.19574537873268127, 0.07516133040189743]"
503,Who can disrupt Nvidia? Former AMD executive talks AI chip competition,2023-11-01,华尔街见闻,Other,zh,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.48346418142318726, 0.22311215102672577, 0.17343924939632416, 0.11998441815376282]"
504,The legal complexities of AI – Minnesota Lawyer,2023-11-01,Minnesota Lawyer,Other,en,negative,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.6599336862564087, 0.1202603280544281, 0.1127222329378128, 0.10708369314670563]"
505,Why Biden's AI Executive Order Only Goes So Far,2023-11-01,TIME,Magazine,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6003311276435852, 0.3191833198070526, 0.04158288985490799, 0.03890271857380867]"
506,Orca Security Announces Generative AI Integration With Amazon ...,2023-11-01,Business Wire,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.513050377368927, 0.21418023109436035, 0.1786041408777237, 0.09416532516479492]"
507,Research Center Advises States: AI Isn't Waiting for Anyone,2023-11-01,Government Technology,Blog,en,positive,"['Skepticism', 'Optimism', 'Concern', 'Excitement']",Skepticism,"[0.35345467925071716, 0.27142229676246643, 0.23676057159900665, 0.13836251199245453]"
508,2-day global AI safety summit begins at a venue near London with a ...,2023-11-01,NPR,Broadcast Media,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.49207040667533875, 0.28747978806495667, 0.11421769857406616, 0.10623209923505783]"
